Customer_ID,Birth_Year,Education_Level,Marital_Status,Annual_Income,Kids_Home,Teens_Home,Customer_Since,Last_Purchase_Recency,Spent_Wine,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Deals_Purchased,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Campaign1_Accepted,Campaign2_Accepted,Campaign3_Accepted,Campaign4_Accepted,Campaign5_Accepted,Filed_Complaint,Contact_Cost,Revenue_Contribution,Campaign_Response,Country,City,Region_Code,Mobile_App_User,Email_Subscriber,Device_Type,Referred_By_Friend,Social_Media_User,Membership_Tier,Total_Amount_Spent,Customer_Age,Family_Size,Senior_Citizen
21,1961,Graduation,Together,47441.11,1,2,22-10-2015,25,12,11,168,169,21,78,6,8,5,2,19,1,0,1,0,0,0,3,11,1,Germany,London,141,0,0,Desktop,0,1,Basic,459,64,4,1
22,1992,Graduation,Widow,56111.27,2,2,08-08-2012,88,365,7,651,101,184,361,6,7,4,9,19,0,0,0,0,0,0,3,11,0,India,Mumbai,914,0,0,Mobile,1,0,Gold,1669,33,4,0
23,1941,Basic,Divorced,59591.42,1,2,26-10-2014,21,122,74,594,121,179,155,4,5,5,1,2,0,0,0,0,1,1,3,11,0,USA,London,297,1,1,Desktop,1,0,Silver,1245,84,3,1
24,1963,PhD,Single,63392.61,1,2,27-12-2013,50,714,77,267,45,47,217,2,1,2,2,1,1,0,0,1,1,0,3,11,1,Brazil,Mumbai,973,0,1,Mobile,0,1,Platinum,1367,62,3,1
25,1983,Basic,Widow,62237.8,0,2,11-02-2011,71,253,17,584,41,119,339,2,6,8,0,2,0,0,1,0,0,1,3,11,1,USA,Mumbai,581,1,0,Desktop,1,1,Basic,1353,42,2,0
26,1969,Graduation,Divorced,53793.91,2,0,05-03-2012,36,714,64,139,91,87,76,3,0,9,4,5,1,1,0,1,0,1,3,11,0,Germany,Berlin,774,1,1,Mobile,1,0,Gold,1171,56,2,0
27,1977,Graduation,Together,56238.84,0,0,21-01-2013,44,675,84,620,279,149,30,7,1,5,1,18,1,1,1,0,1,0,3,11,0,UK,New York,989,0,1,Desktop,0,1,Silver,1837,48,1,0
28,1941,Master,Divorced,33638.69,2,0,15-08-2014,85,360,9,36,229,176,306,7,4,8,5,3,1,0,0,0,0,1,3,11,0,India,Berlin,263,1,0,Mobile,1,0,Gold,1116,84,2,1
29,1999,Basic,Married,38734.6,0,1,08-01-2013,76,185,36,132,137,129,371,6,0,5,5,15,1,0,0,0,0,1,3,11,0,Germany,Berlin,846,0,1,Mobile,0,1,Gold,990,26,2,0
30,1960,Graduation,Single,63431.9,2,2,02-04-2010,36,319,28,8,281,185,333,5,1,2,7,12,0,0,1,1,0,1,3,11,0,USA,New York,366,1,1,Tablet,0,1,Silver,1154,65,4,1
31,1972,Graduation,Single,62558.14,1,0,12-12-2012,13,433,45,184,224,169,284,2,8,1,0,3,1,1,1,0,0,0,3,11,0,Germany,New York,549,0,0,Mobile,1,0,Gold,1339,53,1,0
32,1951,Graduation,Married,60856.99,2,2,01-11-2015,17,633,87,754,197,67,205,9,3,3,5,17,1,1,1,1,1,0,3,11,1,Germany,Berlin,412,0,1,Mobile,0,0,Basic,1943,74,5,1
33,1997,Graduation,Widow,42283.75,2,1,14-02-2011,96,690,43,147,188,36,359,8,1,0,6,15,1,0,1,0,1,1,3,11,1,UK,Mumbai,818,0,1,Mobile,1,1,Platinum,1463,28,3,0
34,1961,PhD,Married,63657.38,0,2,18-12-2015,6,643,35,69,250,148,13,8,5,4,1,11,0,1,1,1,1,1,3,11,1,UK,London,658,0,1,Mobile,1,0,Basic,1158,64,3,1
35,2000,PhD,Single,32581.33,2,0,10-02-2012,73,299,17,231,50,25,467,0,5,6,0,14,1,1,1,1,1,0,3,11,0,USA,London,945,1,1,Mobile,1,0,Silver,1089,25,2,0
36,1983,Basic,Together,66160.4,2,1,03-07-2010,59,529,78,396,80,142,40,5,4,3,8,12,1,1,0,1,1,0,3,11,0,UK,New York,877,1,1,Tablet,1,1,Silver,1265,42,4,0
37,1964,Graduation,Widow,46086.94,2,2,31-12-2010,57,17,31,467,255,46,162,6,7,9,0,16,1,0,0,1,0,0,3,11,1,USA,São Paulo,290,0,1,Mobile,1,1,Silver,978,61,4,1
38,1988,Graduation,Divorced,75262.56,2,1,15-07-2010,93,475,19,644,173,14,260,9,1,3,3,7,0,1,1,0,1,0,3,11,0,UK,London,832,0,0,Mobile,1,0,Silver,1585,37,3,0
39,1966,Graduation,Together,27178.37,1,2,29-07-2010,54,5,33,629,2,85,447,1,0,2,9,16,1,1,1,1,1,0,3,11,1,Germany,São Paulo,985,1,0,Tablet,0,1,Gold,1201,59,4,0
40,1998,Graduation,Widow,76451.06,0,1,15-05-2010,33,186,72,682,70,128,375,8,7,1,6,0,1,0,1,0,1,0,3,11,0,USA,London,367,0,1,Mobile,0,0,Basic,1513,27,1,0
41,1981,Graduation,Single,44578.04,2,0,08-11-2013,44,702,40,336,35,179,462,7,1,2,9,11,1,1,0,1,1,0,3,11,1,USA,New York,386,0,0,Mobile,1,1,Silver,1754,44,2,0
42,1967,PhD,Single,44307.81,0,2,17-08-2011,2,42,97,693,179,137,311,3,6,8,6,6,0,0,1,0,0,1,3,11,1,USA,New York,648,0,1,Desktop,0,1,Silver,1459,58,2,0
43,1999,PhD,Together,52922.58,1,2,19-05-2011,39,249,34,265,43,125,76,8,9,3,1,18,0,1,1,1,0,1,3,11,1,USA,London,595,1,1,Mobile,0,0,Platinum,792,26,4,0
44,1955,Basic,Widow,39543.82,1,2,22-04-2011,75,196,56,157,85,147,256,8,0,8,9,12,1,1,0,0,0,0,3,11,0,India,New York,154,1,0,Tablet,0,0,Basic,897,70,3,1
45,1954,Graduation,Divorced,48915.06,2,0,13-08-2013,99,202,26,262,269,187,262,0,7,3,1,12,0,1,0,1,1,0,3,11,0,USA,Mumbai,607,0,1,Mobile,0,1,Silver,1208,71,2,1
46,2001,Graduation,Divorced,38935.61,0,1,06-11-2013,52,964,17,696,193,175,267,0,4,9,2,11,0,1,1,0,1,0,3,11,0,Brazil,Mumbai,147,0,0,Desktop,1,0,Silver,2312,24,1,0
47,2001,Graduation,Married,39484.05,0,0,20-03-2011,30,776,20,138,176,0,223,3,9,5,3,9,0,0,0,0,1,1,3,11,1,USA,Berlin,942,1,0,Mobile,1,1,Basic,1333,24,1,0
48,1986,Graduation,Together,57303.29,0,1,11-12-2015,22,918,17,199,82,75,276,6,3,0,5,7,0,1,0,0,0,0,3,11,1,UK,Mumbai,874,0,0,Mobile,1,1,Silver,1567,39,2,0
49,2001,Graduation,Widow,36476.52,1,2,09-06-2015,71,778,26,306,154,125,203,9,4,6,8,7,0,0,0,0,0,1,3,11,0,Germany,Berlin,950,1,0,Desktop,0,1,Gold,1592,24,3,0
50,1990,Master,Together,38477.09,1,1,25-01-2011,64,188,94,575,1,40,35,8,5,2,2,17,1,0,1,1,0,1,3,11,1,UK,New York,457,1,0,Tablet,1,1,Silver,933,35,3,0
51,1983,Master,Divorced,29408.13,2,1,12-10-2015,54,846,27,740,76,23,32,4,5,5,6,11,0,0,0,1,1,1,3,11,0,Brazil,São Paulo,833,0,1,Mobile,1,1,Basic,1744,42,3,0
52,1994,Graduation,Widow,42441.04,0,2,17-05-2015,98,472,96,30,46,191,131,1,2,9,5,0,1,1,0,1,1,1,3,11,0,India,London,220,1,1,Desktop,1,1,Gold,966,31,2,0
53,1991,Graduation,Single,69674.03,0,2,26-06-2015,78,272,14,623,187,113,434,6,8,7,7,17,1,1,0,1,1,1,3,11,0,UK,Berlin,968,0,1,Mobile,1,1,Basic,1643,34,2,0
54,1996,Graduation,Single,37311.0,1,1,02-09-2010,91,689,44,512,137,189,304,1,2,7,5,16,0,1,1,1,1,0,3,11,0,Germany,Berlin,138,0,1,Mobile,1,1,Gold,1875,29,2,0
55,1942,Graduation,Widow,39025.5,2,2,12-08-2012,11,948,46,88,188,191,200,3,5,7,1,3,0,1,1,1,0,0,3,11,1,Germany,London,686,1,0,Desktop,1,1,Basic,1661,83,4,1
56,1976,Graduation,Together,52908.83,2,2,11-10-2010,0,89,35,441,295,1,38,4,6,7,8,14,1,1,0,1,1,0,3,11,1,Germany,London,792,1,1,Desktop,1,1,Platinum,899,49,5,0
57,1990,Basic,Together,44438.05,2,1,27-03-2015,10,269,18,726,4,147,454,7,8,2,4,15,0,1,1,1,1,0,3,11,1,Brazil,New York,918,0,1,Mobile,1,0,Silver,1618,35,4,0
58,1946,Graduation,Single,83422.32,1,0,12-12-2011,50,550,98,348,269,181,273,3,9,7,8,9,0,1,0,0,0,1,3,11,1,USA,London,656,0,1,Desktop,0,0,Silver,1719,79,1,1
59,1960,Graduation,Single,47562.08,0,0,21-02-2013,65,119,95,405,222,146,58,1,0,1,0,0,0,0,0,0,0,0,3,11,0,India,Berlin,385,1,1,Desktop,1,0,Basic,1045,65,0,1
60,1948,PhD,Divorced,55028.28,2,2,10-05-2014,44,566,44,201,88,24,124,8,9,5,6,0,1,0,0,1,0,1,3,11,0,Brazil,Mumbai,184,1,1,Mobile,1,0,Gold,1047,77,4,1
61,1978,Graduation,Widow,64156.53,2,1,20-07-2012,98,239,56,557,197,102,406,5,6,3,6,19,0,0,1,0,0,0,3,11,0,Brazil,New York,526,1,1,Mobile,1,1,Basic,1557,47,3,0
62,1957,Graduation,Together,63868.67,0,2,17-10-2011,71,264,75,400,110,0,227,0,0,1,7,17,0,1,0,1,1,1,3,11,0,Brazil,São Paulo,420,1,1,Mobile,0,1,Silver,1076,68,3,1
63,1943,Graduation,Divorced,53499.31,2,0,20-01-2015,30,190,28,268,241,94,275,3,0,4,7,19,0,0,0,1,1,0,3,11,0,Germany,New York,838,1,1,Desktop,1,0,Gold,1096,82,2,1
64,1964,Graduation,Together,47583.09,1,0,02-09-2013,84,282,97,335,150,57,286,1,4,2,2,12,0,1,1,1,1,1,3,11,1,UK,Berlin,726,0,1,Desktop,0,0,Basic,1207,61,2,1
65,1999,Basic,Single,80360.43,2,1,01-04-2012,52,674,15,370,78,67,472,9,3,4,1,1,1,0,0,1,0,0,3,11,0,India,New York,402,1,0,Desktop,0,1,Platinum,1676,26,3,0
66,1953,PhD,Widow,48503.6,0,1,12-10-2010,44,858,21,587,240,2,483,6,8,8,2,6,0,1,1,1,1,0,3,11,1,India,New York,641,0,1,Tablet,1,0,Gold,2191,72,1,1
67,1989,Master,Married,43374.65,1,0,05-06-2014,66,756,71,239,76,163,450,9,3,2,6,2,1,1,0,0,0,1,3,11,1,Germany,London,205,1,1,Desktop,0,0,Gold,1755,36,2,0
68,1997,Graduation,Widow,40312.27,2,1,25-04-2010,88,463,54,624,141,18,52,0,3,0,2,16,0,0,1,1,0,0,3,11,0,India,Mumbai,290,0,0,Tablet,1,0,Basic,1352,28,3,0
69,1948,Graduation,Married,24097.95,0,0,21-08-2012,40,827,11,718,136,169,53,8,3,2,5,6,1,0,1,0,0,0,3,11,1,UK,Mumbai,276,0,1,Mobile,1,0,Gold,1914,77,1,1
70,1965,Basic,Divorced,62324.24,0,2,23-01-2012,27,725,97,274,288,40,375,7,3,8,1,18,0,0,1,1,1,1,3,11,1,USA,São Paulo,761,1,0,Desktop,0,1,Silver,1799,60,2,0
71,1992,Graduation,Married,14778.97,0,0,16-04-2015,61,797,15,212,288,19,317,3,8,7,5,16,1,0,1,1,0,1,3,11,0,India,São Paulo,673,1,0,Desktop,1,1,Silver,1648,33,1,0
72,1941,Master,Married,49914.16,0,0,27-11-2010,91,89,54,95,294,145,147,5,1,0,5,3,0,0,1,1,1,1,3,11,0,Germany,Berlin,877,0,0,Mobile,0,1,Basic,824,84,1,1
73,1959,Basic,Divorced,46927.09,2,1,29-10-2011,1,358,46,568,288,184,280,7,7,9,2,11,0,0,1,0,1,0,3,11,1,Germany,São Paulo,714,1,1,Tablet,1,0,Basic,1724,66,3,1
74,1967,Graduation,Widow,83599.48,2,1,05-08-2011,71,379,72,46,3,41,349,3,3,0,3,19,1,0,1,0,1,0,3,11,0,Brazil,London,867,0,0,Desktop,1,1,Basic,890,58,3,0
75,1986,Graduation,Divorced,22525.23,1,1,22-11-2011,64,166,26,159,281,67,178,1,4,6,9,8,1,1,0,1,0,1,3,11,0,India,São Paulo,521,1,1,Desktop,1,1,Silver,877,39,2,0
76,1999,Graduation,Single,36483.45,1,2,31-08-2014,20,691,98,512,24,10,404,2,8,5,4,0,0,1,1,0,0,1,3,11,0,USA,London,358,0,1,Desktop,0,0,Basic,1739,26,3,0
77,1946,PhD,Single,47958.55,0,1,10-02-2012,14,992,10,718,226,41,381,5,0,2,7,18,1,1,0,1,0,0,3,11,0,UK,São Paulo,130,0,0,Mobile,0,0,Silver,2368,79,1,1
78,1983,Basic,Married,47037.06,0,2,10-03-2013,54,615,82,34,245,145,175,5,0,3,8,7,0,1,1,1,1,0,3,11,0,Germany,London,551,0,1,Mobile,0,1,Silver,1296,42,3,0
79,2000,Master,Divorced,41756.83,1,1,09-10-2010,7,569,94,723,209,119,250,1,1,3,6,1,0,0,1,0,1,1,3,11,0,India,New York,487,0,1,Mobile,0,0,Silver,1964,25,2,0
80,1947,Graduation,Divorced,48785.18,2,1,13-09-2014,85,832,14,670,232,4,226,1,5,8,4,8,0,1,1,1,0,0,3,11,0,Germany,Berlin,752,0,0,Desktop,0,1,Silver,1978,78,3,1
81,1986,Master,Divorced,31106.56,2,0,02-05-2014,19,203,52,23,65,121,53,9,1,9,1,0,1,1,1,0,1,1,3,11,1,Germany,São Paulo,914,1,0,Tablet,0,1,Basic,517,39,2,0
82,1974,Graduation,Widow,55357.89,2,0,10-06-2013,76,125,90,39,199,82,354,9,7,9,6,3,1,1,1,1,0,0,3,11,1,UK,São Paulo,211,1,1,Desktop,0,1,Basic,889,51,2,0
83,1953,Graduation,Together,15177.72,0,0,04-10-2014,63,464,32,499,93,147,221,3,7,5,8,14,1,0,0,0,0,0,3,11,0,Germany,Mumbai,788,1,1,Desktop,0,0,Gold,1456,72,1,1
84,1956,Master,Together,49613.46,1,2,01-02-2010,89,344,70,329,120,193,399,4,3,3,6,17,0,1,0,0,1,1,3,11,0,India,New York,188,1,1,Desktop,1,0,Gold,1455,69,4,1
85,1975,Graduation,Together,40994.65,1,1,11-07-2010,38,668,86,333,166,185,342,6,2,1,6,19,1,1,0,1,0,0,3,11,1,Germany,Berlin,377,0,0,Desktop,0,1,Gold,1780,50,3,0
86,1989,Graduation,Widow,65244.32,1,0,11-02-2011,6,953,99,504,215,106,443,5,4,9,0,13,1,1,1,1,0,0,3,11,0,India,Mumbai,446,1,1,Tablet,0,0,Basic,2320,36,1,0
87,1979,Graduation,Divorced,76329.67,2,1,26-05-2014,56,766,21,760,191,74,202,3,5,9,6,9,1,1,1,0,0,1,3,11,0,India,São Paulo,960,0,0,Desktop,1,1,Silver,2014,46,3,0
88,1943,Master,Together,45034.22,1,0,14-09-2015,74,425,64,381,243,140,139,4,8,4,5,1,1,1,0,0,1,0,3,11,1,Germany,São Paulo,859,0,0,Mobile,0,1,Silver,1392,82,2,1
89,1941,Graduation,Divorced,70860.89,1,1,28-05-2013,30,539,57,703,139,63,98,9,9,1,8,3,0,0,1,1,1,0,3,11,1,Germany,New York,960,1,0,Mobile,1,1,Silver,1599,84,2,1
90,2001,PhD,Married,45258.26,2,0,30-06-2014,33,210,26,92,35,125,196,7,6,0,8,16,0,0,1,1,1,0,3,11,0,Germany,London,452,0,0,Mobile,1,1,Silver,684,24,3,0
91,1945,Graduation,Together,35508.1,0,0,17-07-2015,74,265,74,200,13,169,358,9,2,0,3,3,1,0,0,0,0,1,3,11,0,Germany,New York,947,0,1,Mobile,1,1,Platinum,1079,80,1,1
92,1993,Graduation,Married,76188.55,0,0,11-12-2012,87,266,11,119,182,105,311,1,8,5,3,6,1,0,0,0,0,1,3,11,0,India,London,733,0,1,Mobile,1,1,Gold,994,32,1,0
93,1981,Master,Widow,57811.65,2,0,17-01-2010,88,969,59,243,155,129,488,5,5,8,7,18,1,1,1,1,1,0,3,11,0,India,London,901,0,0,Mobile,1,0,Silver,2043,44,2,0
94,1943,Graduation,Single,50066.58,1,0,03-05-2012,50,253,84,649,42,177,299,0,1,4,2,3,0,0,1,0,1,1,3,11,1,USA,Mumbai,333,0,0,Desktop,1,1,Basic,1504,82,1,1
95,1993,Master,Widow,60307.66,0,1,19-08-2015,55,187,71,767,147,8,165,5,1,8,3,9,1,1,0,0,0,1,3,11,1,UK,Berlin,482,0,1,Mobile,1,1,Silver,1345,32,1,0
96,1968,PhD,Widow,54113.23,0,0,13-08-2015,96,29,76,116,173,172,21,9,4,3,9,9,1,1,0,1,0,1,3,11,1,India,Mumbai,468,1,1,Tablet,0,1,Basic,587,57,0,0
97,1957,Graduation,Widow,48961.71,0,1,25-07-2013,28,304,32,513,80,70,80,1,1,5,8,2,0,1,0,1,0,1,3,11,0,India,Mumbai,227,0,1,Desktop,0,0,Silver,1079,68,1,1
98,1965,Basic,Together,30103.48,2,0,02-01-2015,62,966,65,278,29,119,20,9,0,2,1,5,0,1,1,1,0,0,3,11,0,Germany,Berlin,513,0,0,Desktop,0,0,Basic,1477,60,3,0
99,1983,Basic,Married,45941.95,0,1,16-06-2010,84,452,8,704,103,3,376,7,7,6,6,14,0,0,0,0,1,0,3,11,0,India,London,223,0,1,Mobile,1,1,Basic,1646,42,2,0
100,1973,Master,Together,59348.83,1,0,21-07-2013,32,699,76,394,299,188,346,0,5,3,9,13,1,1,1,1,0,0,3,11,1,Germany,São Paulo,224,1,1,Desktop,0,1,Silver,2002,52,2,0
101,1949,Master,Single,48158.43,2,0,05-06-2014,44,795,25,356,123,65,236,1,1,5,0,3,0,1,0,0,0,1,3,11,1,USA,Mumbai,318,1,1,Mobile,1,1,Silver,1600,76,2,1
102,2001,Graduation,Widow,63534.89,2,0,27-01-2010,5,787,44,352,82,86,115,6,9,5,6,12,0,1,1,0,0,1,3,11,0,Germany,London,707,0,1,Tablet,0,0,Silver,1466,24,2,0
103,1975,Basic,Divorced,55754.83,0,2,28-04-2010,36,991,54,574,72,0,140,9,8,3,2,2,0,0,1,1,0,1,3,11,0,Brazil,London,861,0,1,Desktop,0,0,Silver,1831,50,2,0
104,1953,Basic,Single,36827.96,1,1,20-07-2013,52,698,51,35,170,112,499,7,8,1,3,6,1,0,1,1,0,1,3,11,1,India,London,510,1,0,Desktop,1,0,Basic,1565,72,2,1
105,1970,Master,Married,30212.42,2,1,13-11-2010,1,907,8,471,63,68,93,2,7,1,2,7,0,0,1,0,0,1,3,11,1,UK,New York,367,1,1,Tablet,0,0,Basic,1610,55,4,0
106,1987,Graduation,Single,47642.32,0,0,26-11-2013,93,644,78,278,123,159,173,9,6,5,3,16,0,1,0,1,0,0,3,11,0,Brazil,Mumbai,865,1,0,Desktop,1,0,Platinum,1455,38,0,0
107,1954,Graduation,Together,42136.57,1,0,16-09-2014,56,29,6,437,128,18,186,8,0,8,7,17,0,0,1,0,1,0,3,11,1,India,London,508,0,0,Desktop,0,1,Basic,804,71,2,1
108,1947,Graduation,Divorced,55044.83,1,0,07-12-2012,91,160,56,574,274,30,334,3,8,5,4,2,1,0,1,0,1,0,3,11,1,Germany,Berlin,243,0,1,Mobile,0,1,Basic,1428,78,1,1
109,1953,Master,Together,39227.94,2,2,05-11-2012,95,649,56,725,108,53,401,7,2,8,0,17,1,0,0,0,0,1,3,11,0,Germany,Berlin,974,1,0,Mobile,0,1,Silver,1992,72,5,1
110,1962,Graduation,Widow,40769.12,0,0,02-02-2014,50,422,36,32,267,3,298,9,2,1,9,10,1,1,0,1,0,0,3,11,1,Germany,São Paulo,561,1,0,Mobile,0,1,Silver,1058,63,0,1
111,1999,Graduation,Widow,65796.05,1,0,29-04-2015,90,346,72,686,118,134,54,5,1,7,2,7,1,0,1,0,0,0,3,11,0,Brazil,New York,927,1,1,Mobile,1,0,Gold,1410,26,1,0
112,1996,Basic,Single,52223.04,2,1,30-07-2013,38,843,77,530,235,31,202,4,5,6,9,4,1,0,1,1,1,1,3,11,0,USA,São Paulo,534,1,0,Desktop,1,0,Silver,1918,29,3,0
113,2001,Graduation,Widow,39459.09,2,2,24-08-2015,21,577,29,790,27,96,101,8,8,2,9,9,1,0,1,0,1,0,3,11,0,Germany,Mumbai,318,0,0,Mobile,1,1,Basic,1620,24,4,0
114,1979,Master,Widow,50264.63,2,1,03-10-2013,78,221,50,109,108,5,70,1,7,1,3,2,0,1,1,0,1,0,3,11,1,Germany,Berlin,175,1,0,Desktop,0,1,Silver,563,46,3,0
115,1960,PhD,Married,70683.67,2,2,02-01-2011,42,187,46,473,204,97,104,8,2,7,1,19,0,1,0,1,1,1,3,11,1,USA,Mumbai,140,0,1,Tablet,0,1,Basic,1111,65,5,1
116,1955,Graduation,Married,54406.8,2,2,16-08-2010,37,424,83,597,244,126,481,4,3,0,4,8,0,1,0,0,0,1,3,11,0,India,New York,671,0,0,Desktop,0,0,Silver,1955,70,5,1
117,1984,Basic,Together,58894.26,1,1,10-07-2014,63,964,53,450,106,50,159,6,7,8,4,14,0,1,0,0,0,1,3,11,0,USA,London,306,1,0,Desktop,1,0,Platinum,1782,41,3,0
118,1957,Basic,Together,38716.48,2,1,29-09-2012,36,548,22,3,52,14,204,6,2,9,6,19,0,0,1,1,0,0,3,11,1,Brazil,Berlin,106,1,1,Mobile,1,0,Gold,843,68,4,1
119,1986,Graduation,Married,65396.29,0,2,06-01-2012,99,510,78,96,10,27,143,1,3,7,8,9,0,0,0,0,1,0,3,11,1,Germany,New York,611,1,1,Mobile,1,0,Basic,864,39,3,0
120,1992,Master,Single,84771.53,0,2,16-05-2012,37,205,57,458,214,79,217,7,8,1,4,4,0,0,1,0,1,0,3,11,0,USA,São Paulo,530,0,0,Mobile,0,0,Silver,1230,33,2,0
121,1963,Basic,Married,38127.99,1,0,22-10-2011,70,370,55,83,57,20,375,8,8,6,8,14,1,0,1,1,1,0,3,11,1,Germany,London,914,1,1,Tablet,0,0,Silver,960,62,2,1
122,1965,Graduation,Together,32271.59,2,0,03-02-2015,30,473,30,753,117,85,378,9,8,6,3,11,1,0,0,0,0,1,3,11,1,Germany,London,234,1,0,Mobile,0,1,Gold,1836,60,3,0
123,1964,Graduation,Divorced,52633.13,2,1,12-08-2014,43,881,67,127,46,96,167,8,9,9,2,17,1,0,0,1,1,0,3,11,1,Brazil,Berlin,853,1,1,Mobile,0,0,Silver,1384,61,3,1
124,1999,Basic,Widow,63132.58,1,2,08-09-2011,93,391,88,95,92,116,168,8,6,2,1,18,0,1,1,0,1,0,3,11,0,India,Mumbai,199,1,0,Mobile,0,0,Basic,950,26,3,0
125,1999,Graduation,Divorced,48629.15,2,1,04-05-2011,13,478,61,692,62,98,181,6,1,5,6,4,1,1,1,0,1,0,3,11,0,Brazil,New York,915,1,1,Desktop,1,1,Gold,1572,26,3,0
