Birth_Year,Education_Level,Annual_Income,Kids_Home,Teens_Home,Last_Purchase_Recency,Spent_Wine,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Deals_Purchased,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Campaign1_Accepted,Campaign2_Accepted,Campaign3_Accepted,Campaign4_Accepted,Campaign5_Accepted,Filed_Complaint,Contact_Cost,Revenue_Contribution,Campaign_Response,Country,City,Region_Code,Mobile_App_User,Email_Subscriber,Referred_By_Friend,Social_Media_User,Membership_Tier,Total_Amount_Spent,Customer_Age,Family_Size,Senior_Citizen,Device_Type_Mobile,Device_Type_Tablet,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Total_kids,Income_per_person,Cluster,PCA1,PCA2,High_Spender
1950,1,66800.85,0,1,11,986,29,270,207,21,398,3,5,8,9,19,0,1,1,0,0,0,3,11,1,UK,New York,211,0,1,1,1,2,1911,75,1,1,False,False,False,True,False,False,1,33400.425,2,-0.7361390967542853,-0.9582431694513073,True
1963,0,61867.3,2,0,91,523,57,96,56,186,144,0,2,0,6,18,1,0,0,0,0,1,3,11,1,Brazil,Berlin,869,0,0,1,0,3,1062,62,3,1,True,False,False,False,True,False,2,15466.825,1,0.3581214418901438,1.447655593232207,False
1992,1,56851.56,0,2,12,288,87,522,239,89,391,8,9,5,1,11,0,1,0,1,1,1,3,11,0,India,London,519,1,0,0,1,3,1616,33,2,0,False,False,False,True,False,False,2,18950.52,3,-1.4383030840568378,-0.7779618744071952,True
1975,1,-38.52,2,0,20,488,89,614,242,119,487,2,0,2,8,1,1,0,0,1,1,0,3,11,0,UK,Mumbai,169,1,0,0,0,1,2039,50,2,0,True,False,False,False,False,False,2,-12.840000000000002,3,1.29481842988086,-1.9250136267653444,True
1979,0,69258.33,2,0,54,26,64,415,161,73,73,7,0,0,7,0,0,0,0,1,1,0,3,11,0,UK,Mumbai,495,0,0,1,1,0,812,46,2,0,False,False,False,False,False,False,2,23086.11,1,-0.567454763630384,1.2041485709307345,False
1963,1,34603.49,0,2,37,368,96,776,177,135,173,6,3,7,4,7,1,1,1,1,0,1,3,11,0,India,New York,562,0,0,0,0,3,1725,62,3,1,True,False,True,False,False,False,2,8650.8725,2,0.6290739097306265,-0.8693300002168687,True
1942,1,42384.62,0,2,51,892,71,51,249,83,312,1,7,9,7,19,1,1,0,1,0,0,3,11,1,USA,London,128,1,1,1,0,3,1658,83,3,1,True,False,True,False,False,False,2,10596.155,2,1.2077020730273258,-0.5691075222026584,True
1961,1,47441.11,1,2,25,12,11,168,169,21,78,6,8,5,2,19,1,0,1,0,0,0,3,11,1,Germany,London,141,0,0,0,1,0,459,64,4,1,False,False,False,False,True,False,3,9488.222,2,1.2754592178733104,0.2115134051545354,False
1992,1,56111.27,2,2,88,365,7,651,101,184,361,6,7,4,9,19,0,0,0,0,0,0,3,11,0,India,Mumbai,914,0,0,1,0,1,1669,33,4,0,True,False,False,False,False,True,4,11222.253999999999,0,-0.6518429297257624,-0.1694018204078293,True
1941,0,59591.42,1,2,21,122,74,594,121,179,155,4,5,5,1,2,0,0,0,0,1,1,3,11,0,USA,London,297,1,1,1,0,3,1245,84,3,1,False,False,False,False,False,False,3,14897.855,2,0.8217398575311701,-0.9408362103385798,False
1963,3,63392.61,1,2,50,714,77,267,45,47,217,2,1,2,2,1,1,0,0,1,1,0,3,11,1,Brazil,Mumbai,973,0,1,0,1,2,1367,62,3,1,True,False,False,True,False,False,3,15848.1525,0,-0.05652243608749068,-0.26861735090971683,False
1983,0,62237.8,0,2,71,253,17,584,41,119,339,2,6,8,0,2,0,0,1,0,0,1,3,11,1,USA,Mumbai,581,1,0,1,1,0,1353,42,2,0,False,False,False,False,False,True,2,20745.933333333334,1,-0.7502796176560612,0.8051825467966155,False
1969,1,53793.91,2,0,36,714,64,139,91,87,76,3,0,9,4,5,1,1,0,1,0,1,3,11,0,Germany,Berlin,774,1,1,1,0,1,1171,56,2,0,True,False,False,False,False,False,2,17931.303333333333,2,0.04428880495286583,0.09917315610753721,False
1977,1,56238.84,0,0,44,675,84,620,279,149,30,7,1,5,1,18,1,1,1,0,1,0,3,11,0,UK,New York,989,0,1,0,1,3,1837,48,1,0,False,False,False,False,True,False,0,28119.42,1,-1.161483807274612,0.40298717116319344,True
1941,2,33638.69,2,0,85,360,9,36,229,176,306,7,4,8,5,3,1,0,0,0,0,1,3,11,0,India,Berlin,263,1,0,1,0,1,1116,84,2,1,True,False,False,False,False,False,2,11212.896666666667,0,2.2725437427891486,0.7637173856632415,False
1999,0,38734.6,0,1,76,185,36,132,137,129,371,6,0,5,5,15,1,0,0,0,0,1,3,11,0,Germany,Berlin,846,0,1,0,1,1,990,26,2,0,True,False,True,False,False,False,1,12911.533333333333,1,-0.1681309400417064,1.7252462776991289,False
1960,1,63431.9,2,2,36,319,28,8,281,185,333,5,1,2,7,12,0,0,1,1,0,1,3,11,0,USA,New York,366,1,1,0,1,3,1154,65,4,1,False,True,False,True,False,False,4,12686.380000000001,0,0.29516871707757913,-0.7690440545728914,False
1972,1,62558.14,1,0,13,433,45,184,224,169,284,2,8,1,0,3,1,1,1,0,0,0,3,11,0,Germany,New York,549,0,0,1,0,1,1339,53,1,0,True,False,False,True,False,False,1,31279.07,2,-0.8776206506451941,-0.02863331470513413,False
1951,1,60856.99,2,2,17,633,87,754,197,67,205,9,3,3,5,17,1,1,1,1,1,0,3,11,1,Germany,Berlin,412,0,1,0,0,0,1943,74,5,1,True,False,True,False,False,False,4,10142.831666666667,0,-0.03299407793627193,-2.3147357611760673,True
1997,1,42283.75,2,1,96,690,43,147,188,36,359,8,1,0,6,15,1,0,1,0,1,1,3,11,1,UK,Mumbai,818,0,1,1,1,2,1463,28,3,0,True,False,False,False,False,True,3,10570.9375,1,-0.1881189136177623,0.623383959210892,True
1961,3,63657.38,0,2,6,643,35,69,250,148,13,8,5,4,1,11,0,1,1,1,1,1,3,11,1,UK,London,658,0,1,1,0,0,1158,64,3,1,True,False,True,False,False,False,2,15914.345,2,-0.2613149265172009,-0.4761551613954588,False
2000,3,32581.33,2,0,73,299,17,231,50,25,467,0,5,6,0,14,1,1,1,1,1,0,3,11,0,USA,London,945,1,1,1,0,3,1089,25,2,0,True,False,False,True,False,False,2,10860.443333333335,1,0.11481082209610187,1.010368916057796,False
1983,0,66160.4,2,1,59,529,78,396,80,142,40,5,4,3,8,12,1,1,0,1,1,0,3,11,0,UK,New York,877,1,1,1,1,3,1265,42,4,0,False,True,False,False,True,False,3,13232.079999999998,3,-0.7617567558764831,0.24853386823193077,False
1964,1,46086.94,2,2,57,17,31,467,255,46,162,6,7,9,0,16,1,0,0,1,0,0,3,11,1,USA,São Paulo,290,0,1,1,1,3,978,61,4,1,True,False,False,False,False,True,4,9217.388,0,1.160709393797049,-0.2485037592877674,False
1988,1,75262.56,2,1,93,475,19,644,173,14,260,9,1,3,3,7,0,1,1,0,1,0,3,11,0,UK,London,832,0,0,1,0,3,1585,37,3,0,True,False,False,False,False,False,3,18815.64,1,-1.3755341467161981,0.6854926738040005,True
1966,1,27178.37,1,2,54,5,33,629,2,85,447,1,0,2,9,16,1,1,1,1,1,0,3,11,1,Germany,São Paulo,985,1,0,0,1,1,1201,59,4,0,False,True,False,False,True,False,3,5435.674,0,1.5286825387046585,-0.33515958705748305,False
1998,1,76451.06,0,1,33,186,72,682,70,128,375,8,7,1,6,0,1,0,1,0,1,0,3,11,0,USA,London,367,0,1,0,0,0,1513,27,1,0,True,False,False,False,False,True,1,38225.53,3,-2.4283446142140233,0.5265999341890435,True
1981,1,44578.04,2,0,44,702,40,336,35,179,462,7,1,2,9,11,1,1,0,1,1,0,3,11,1,USA,New York,386,0,0,1,1,3,1754,44,2,0,True,False,False,True,False,False,2,14859.346666666666,3,-0.4281967223809417,-0.5052109215382681,True
1967,3,44307.81,0,2,2,42,97,693,179,137,311,3,6,8,6,6,0,0,1,0,0,1,3,11,1,USA,New York,648,0,1,0,1,3,1459,58,2,0,False,False,False,True,False,False,2,14769.269999999999,2,0.06827968992618003,-1.1210647688470292,True
1999,3,52922.58,1,2,39,249,34,265,43,125,76,8,9,3,1,18,0,1,1,1,0,1,3,11,1,USA,London,595,1,1,0,0,2,792,26,4,0,True,False,False,False,True,False,3,10584.516,3,-0.5239822302907257,0.4348257441141748,False
1955,0,39543.82,1,2,75,196,56,157,85,147,256,8,0,8,9,12,1,1,0,0,0,0,3,11,0,India,New York,154,1,0,0,0,0,897,70,3,1,False,True,False,False,False,True,3,9885.955,0,1.786974678191249,0.557238168140234,False
1954,1,48915.06,2,0,99,202,26,262,269,187,262,0,7,3,1,12,0,1,0,1,1,0,3,11,0,USA,Mumbai,607,0,1,0,1,3,1208,71,2,1,True,False,False,False,False,False,2,16305.019999999999,0,1.1656834255112665,1.2102670911363884,False
2001,1,38935.61,0,1,52,964,17,696,193,175,267,0,4,9,2,11,0,1,1,0,1,0,3,11,0,Brazil,Mumbai,147,0,0,1,0,3,2312,24,1,0,False,False,False,False,False,False,1,19467.805,1,-1.481589054267324,-0.5114471334944635,True
2001,1,39484.05,0,0,30,776,20,138,176,0,223,3,9,5,3,9,0,0,0,0,1,1,3,11,1,USA,Berlin,942,1,0,1,1,0,1333,24,1,0,True,False,True,False,False,False,0,19742.025,1,-1.0028112171395687,0.783609078751358,False
1986,1,57303.29,0,1,22,918,17,199,82,75,276,6,3,0,5,7,0,1,0,0,0,0,3,11,1,UK,Mumbai,874,0,0,1,1,3,1567,39,2,0,True,False,False,False,True,False,1,19101.096666666668,3,-1.2942726446746597,-0.08344323758972748,True
2001,1,36476.52,1,2,71,778,26,306,154,125,203,9,4,6,8,7,0,0,0,0,0,1,3,11,0,Germany,Berlin,950,1,0,0,1,1,1592,24,3,0,False,False,False,False,False,True,3,9119.13,1,-0.3515278229335959,-0.10756526441497842,True
1990,2,38477.09,1,1,64,188,94,575,1,40,35,8,5,2,2,17,1,0,1,1,0,1,3,11,1,UK,New York,457,1,0,1,1,3,933,35,3,0,False,True,False,False,True,False,2,9619.2725,1,0.29982399591394826,1.0093517638703793,False
1983,2,29408.13,2,1,54,846,27,740,76,23,32,4,5,5,6,11,0,0,0,1,1,1,3,11,0,Brazil,São Paulo,833,0,1,1,1,0,1744,42,3,0,True,False,False,False,False,False,3,7352.0325,0,0.3714893888765154,-0.8909521102612991,True
1994,1,42441.04,0,2,98,472,96,30,46,191,131,1,2,9,5,0,1,1,0,1,1,1,3,11,0,India,London,220,1,1,1,1,1,966,31,2,0,False,False,False,False,False,True,2,14147.013333333334,1,0.17454831676181778,1.7614150444819372,False
1991,1,69674.03,0,2,78,272,14,623,187,113,434,6,8,7,7,17,1,1,0,1,1,1,3,11,0,UK,Berlin,968,0,1,1,1,0,1643,34,2,0,True,False,False,True,False,False,2,23224.676666666666,1,-1.5491545785162548,0.715985020132946,True
1996,1,37311.0,1,1,91,689,44,512,137,189,304,1,2,7,5,16,0,1,1,1,1,0,3,11,0,Germany,Berlin,138,0,1,1,1,1,1875,29,2,0,True,False,False,True,False,False,2,12437.0,1,-0.4680998856368571,0.37234795663015996,True
1942,1,39025.5,2,2,11,948,46,88,188,191,200,3,5,7,1,3,0,1,1,1,0,0,3,11,1,Germany,London,686,1,0,1,1,0,1661,83,4,1,False,False,False,False,False,True,4,7805.1,0,1.4116614307346984,-2.379953730125895,True
1976,1,52908.83,2,2,0,89,35,441,295,1,38,4,6,7,8,14,1,1,0,1,1,0,3,11,1,Germany,London,792,1,1,1,1,2,899,49,5,0,False,False,False,False,True,False,4,8818.138333333334,3,0.13858417642089457,-1.1800756524668214,False
1990,0,44438.05,2,1,10,269,18,726,4,147,454,7,8,2,4,15,0,1,1,1,1,0,3,11,1,Brazil,New York,918,0,1,1,0,3,1618,35,4,0,True,False,False,False,True,False,3,8887.61,3,-0.6954308082583106,-1.4359866254352691,True
1946,1,83422.32,1,0,50,550,98,348,269,181,273,3,9,7,8,9,0,1,0,0,0,1,3,11,1,USA,London,656,0,1,0,0,3,1719,79,1,1,False,False,False,True,False,False,1,41711.16,2,-0.8905681811590807,0.2703743352286573,True
1960,1,47562.08,0,0,65,119,95,405,222,146,58,1,0,1,0,0,0,0,0,0,0,0,3,11,0,India,Berlin,385,1,1,1,0,0,1045,65,0,1,False,False,False,True,False,False,0,47562.08,2,0.6050899802204934,1.6622726400572467,False
1948,3,55028.28,2,2,44,566,44,201,88,24,124,8,9,5,6,0,1,0,0,1,0,1,3,11,0,Brazil,Mumbai,184,1,1,1,0,1,1047,77,4,1,True,False,False,False,False,False,4,11005.655999999999,0,1.2260945957142406,-0.6467972947528068,False
1978,1,64156.53,2,1,98,239,56,557,197,102,406,5,6,3,6,19,0,0,1,0,0,0,3,11,0,Brazil,New York,526,1,1,1,1,0,1557,47,3,0,True,False,False,False,False,True,3,16039.1325,0,-0.48654807643292736,0.6265131788915003,True
1957,1,63868.67,0,2,71,264,75,400,110,0,227,0,0,1,7,17,0,1,0,1,1,1,3,11,0,Brazil,São Paulo,420,1,1,0,1,3,1076,68,3,1,True,False,False,False,True,False,2,15967.1675,0,0.3538416614451089,0.9788968051800917,False
1943,1,53499.31,2,0,30,190,28,268,241,94,275,3,0,4,7,19,0,0,0,1,1,0,3,11,0,Germany,New York,838,1,1,1,0,1,1096,82,2,1,False,False,False,False,False,False,2,17833.103333333333,2,1.0269130922322545,-0.1420832674831412,False
1964,1,47583.09,1,0,84,282,97,335,150,57,286,1,4,2,2,12,0,1,1,1,1,1,3,11,1,UK,Berlin,726,0,1,0,0,0,1207,61,2,1,False,False,False,False,True,False,1,15861.029999999999,1,0.6051065501565858,1.4216759890726551,False
1999,0,80360.43,2,1,52,674,15,370,78,67,472,9,3,4,1,1,1,0,0,1,0,0,3,11,0,India,New York,402,1,0,0,1,2,1676,26,3,0,False,False,False,True,False,False,3,20090.1075,3,-2.3258682593121107,-0.15868504496982397,True
1953,3,48503.6,0,1,44,858,21,587,240,2,483,6,8,8,2,6,0,1,1,1,1,0,3,11,1,India,New York,641,0,1,1,0,1,2191,72,1,1,False,True,False,False,False,True,1,24251.8,2,-0.09049422343398515,-0.8044985583816938,True
1989,2,43374.65,1,0,66,756,71,239,76,163,450,9,3,2,6,2,1,1,0,0,0,1,3,11,1,Germany,London,205,1,1,0,0,1,1755,36,2,0,False,False,True,False,False,False,1,14458.216666666667,1,-0.6888176764668358,0.47247096653680337,True
1997,1,40312.27,2,1,88,463,54,624,141,18,52,0,3,0,2,16,0,0,1,1,0,0,3,11,0,India,Mumbai,290,0,0,1,0,0,1352,28,3,0,False,True,False,False,False,True,3,10078.0675,1,-0.06457670269237888,0.5791076932190168,False
1948,1,24097.95,0,0,40,827,11,718,136,169,53,8,3,2,5,6,1,0,1,0,0,0,3,11,1,UK,Mumbai,276,0,1,1,0,1,1914,77,1,1,True,False,True,False,False,False,0,12048.975,2,1.1673911960583518,-0.36818775088546346,True
1965,0,62324.24,0,2,27,725,97,274,288,40,375,7,3,8,1,18,0,0,1,1,1,1,3,11,1,USA,São Paulo,761,1,0,0,1,3,1799,60,2,0,False,False,False,False,False,False,2,20774.746666666666,3,-0.7413639534796674,-0.8605189878099269,True
1992,1,14778.97,0,0,61,797,15,212,288,19,317,3,8,7,5,16,1,0,1,1,0,1,3,11,0,India,São Paulo,673,1,0,1,1,3,1648,33,1,0,False,False,True,False,False,False,0,7389.485,1,0.3099225915618752,0.6819366614292254,True
1941,2,49914.16,0,0,91,89,54,95,294,145,147,5,1,0,5,3,0,0,1,1,1,1,3,11,0,Germany,Berlin,877,0,0,0,1,0,824,84,1,1,True,False,True,False,False,False,0,24957.08,2,1.5425675495017293,2.3771013926761486,False
1959,0,46927.09,2,1,1,358,46,568,288,184,280,7,7,9,2,11,0,0,1,0,1,0,3,11,1,Germany,São Paulo,714,1,1,1,0,0,1724,66,3,1,False,True,False,False,False,False,3,11731.7725,3,0.18452214290715818,-1.9899800465095316,True
1967,1,83599.48,2,1,71,379,72,46,3,41,349,3,3,0,3,19,1,0,1,0,1,0,3,11,0,Brazil,London,867,0,0,1,1,0,890,58,3,0,False,False,False,False,False,True,3,20899.87,0,-0.5351768839534442,1.0590390403309822,False
1986,1,22525.23,1,1,64,166,26,159,281,67,178,1,4,6,9,8,1,1,0,1,0,1,3,11,0,India,São Paulo,521,1,1,1,1,3,877,39,2,0,False,False,False,False,False,False,2,7508.41,1,1.1667348127983168,0.8771085694297305,False
1999,1,36483.45,1,2,20,691,98,512,24,10,404,2,8,5,4,0,0,1,1,0,0,1,3,11,0,USA,London,358,0,1,0,0,0,1739,26,3,0,False,False,False,True,False,False,3,9120.8625,3,-0.7219167776791974,-1.3980707514720507,True
1946,3,47958.55,0,1,14,992,10,718,226,41,381,5,0,2,7,18,1,1,0,1,0,0,3,11,0,UK,São Paulo,130,0,0,0,0,3,2368,79,1,1,True,False,False,True,False,False,1,23979.275,2,-0.14701190449897836,-1.7362690333466129,True
1983,0,47037.06,0,2,54,615,82,34,245,145,175,5,0,3,8,7,0,1,1,1,1,0,3,11,0,Germany,London,551,0,1,0,1,3,1296,42,3,0,True,False,True,False,False,False,2,11759.265,1,-0.16763229736650925,0.3547008921422658,False
2000,2,41756.83,1,1,7,569,94,723,209,119,250,1,1,3,6,1,0,0,1,0,1,1,3,11,0,India,New York,487,0,1,0,0,3,1964,25,2,0,True,False,False,False,False,False,2,13918.943333333335,3,-1.4064480418031027,-1.4436040447448615,True
1947,1,48785.18,2,1,85,832,14,670,232,4,226,1,5,8,4,8,0,1,1,1,0,0,3,11,0,Germany,Berlin,752,0,0,0,1,3,1978,78,3,1,False,False,False,False,False,False,3,12196.295,0,0.8670034066638902,-0.6231264139735466,True
1986,2,31106.56,2,0,19,203,52,23,65,121,53,9,1,9,1,0,1,1,1,0,1,1,3,11,1,Germany,São Paulo,914,1,0,0,1,0,517,39,2,0,False,True,False,False,False,False,2,10368.853333333334,3,0.8126718114364696,0.49320957988888287,False
1974,1,55357.89,2,0,76,125,90,39,199,82,354,9,7,9,6,3,1,1,1,1,0,0,3,11,1,UK,São Paulo,211,1,1,0,1,0,889,51,2,0,False,False,False,False,False,True,2,18452.63,1,0.2795862761781078,1.3764306967628797,False
1953,1,15177.72,0,0,63,464,32,499,93,147,221,3,7,5,8,14,1,0,0,0,0,0,3,11,0,Germany,Mumbai,788,1,1,0,0,1,1456,72,1,1,False,False,False,False,True,False,0,7588.86,2,1.882847675161016,0.6672416493021296,True
1956,2,49613.46,1,2,89,344,70,329,120,193,399,4,3,3,6,17,0,1,0,0,1,1,3,11,0,India,New York,188,1,1,1,0,1,1455,69,4,1,False,False,False,False,True,False,3,9922.692,0,0.9568344772841366,0.23436042411933808,True
1975,1,40994.65,1,1,38,668,86,333,166,185,342,6,2,1,6,19,1,1,0,1,0,0,3,11,1,Germany,Berlin,377,0,0,0,1,1,1780,50,3,0,False,False,False,False,True,False,2,10248.6625,3,-0.11717732642991241,-0.7541891067112434,True
1989,1,65244.32,1,0,6,953,99,504,215,106,443,5,4,9,0,13,1,1,1,1,0,0,3,11,0,India,Mumbai,446,1,1,0,0,0,2320,36,1,0,False,True,False,False,False,True,1,32622.16,3,-2.456336345290799,-1.3064270235049253,True
1979,1,76329.67,2,1,56,766,21,760,191,74,202,3,5,9,6,9,1,1,1,0,0,1,3,11,0,India,São Paulo,960,0,0,1,1,3,2014,46,3,0,False,False,False,False,False,False,3,19082.4175,3,-1.6777006756812718,-0.7260808975693849,True
1943,2,45034.22,1,0,74,425,64,381,243,140,139,4,8,4,5,1,1,1,0,0,1,0,3,11,1,Germany,São Paulo,859,0,0,0,1,3,1392,82,2,1,True,False,False,False,True,False,1,15011.406666666668,2,1.263339263472081,0.7679869238192483,False
1941,1,70860.89,1,1,30,539,57,703,139,63,98,9,9,1,8,3,0,0,1,1,1,0,3,11,1,Germany,New York,960,1,0,1,1,3,1599,84,2,1,True,False,False,False,False,False,2,23620.296666666665,2,-0.0464307149142743,-0.633551741363633,True
2001,3,45258.26,2,0,33,210,26,92,35,125,196,7,6,0,8,16,0,0,1,1,1,0,3,11,0,Germany,London,452,0,0,1,1,3,684,24,3,0,True,False,True,False,False,False,2,11314.565,3,-0.38068044626463576,0.8445606217263785,False
1945,1,35508.1,0,0,74,265,74,200,13,169,358,9,2,0,3,3,1,0,0,0,0,1,3,11,0,Germany,New York,947,0,1,1,1,2,1079,80,1,1,True,False,False,False,True,False,0,17754.05,2,1.690962090689888,1.5553649908983211,False
1993,1,76188.55,0,0,87,266,11,119,182,105,311,1,8,5,3,6,1,0,0,0,0,1,3,11,0,India,London,733,0,1,1,1,1,994,32,1,0,True,False,True,False,False,False,0,38094.275,1,-1.6279437645636352,2.774340470052836,False
1981,2,57811.65,2,0,88,969,59,243,155,129,488,5,5,8,7,18,1,1,1,1,1,0,3,11,0,India,London,901,0,0,1,0,3,2043,44,2,0,True,False,False,False,False,True,2,19270.55,1,-0.9462081658058011,0.18915847419245152,True
1943,1,50066.58,1,0,50,253,84,649,42,177,299,0,1,4,2,3,0,0,1,0,1,1,3,11,1,USA,Mumbai,333,0,0,1,1,0,1504,82,1,1,False,False,False,True,False,False,1,25033.29,2,0.8068144922396884,0.1665433116464613,True
1993,2,60307.66,0,1,55,187,71,767,147,8,165,5,1,8,3,9,1,1,0,0,0,1,3,11,1,UK,Berlin,482,0,1,1,1,3,1345,32,1,0,True,False,False,False,False,True,1,30153.83,1,-1.286136942302312,0.9981383531614512,False
1968,3,54113.23,0,0,96,29,76,116,173,172,21,9,4,3,9,9,1,1,0,1,0,1,3,11,1,India,Mumbai,468,1,1,0,1,0,587,57,0,0,False,True,False,False,False,True,0,54113.23,1,0.6067940368081457,3.0600611436231024,False
1957,1,48961.71,0,1,28,304,32,513,80,70,80,1,1,5,8,2,0,1,0,1,0,1,3,11,0,India,Mumbai,227,0,1,0,0,3,1079,68,1,1,False,False,False,False,False,True,1,24480.855,2,0.5517709146787318,0.3631767857290182,False
1965,0,30103.48,2,0,62,966,65,278,29,119,20,9,0,2,1,5,0,1,1,1,0,0,3,11,0,Germany,Berlin,513,0,0,0,0,0,1477,60,3,0,False,False,False,False,True,False,2,7525.87,0,1.107676426082139,-0.045051394221325064,True
1983,0,45941.95,0,1,84,452,8,704,103,3,376,7,7,6,6,14,0,0,0,0,1,0,3,11,0,India,London,223,0,1,1,1,0,1646,42,2,0,True,False,True,False,False,False,1,15313.983333333332,1,-0.37602902776543223,0.9772504690396182,True
1973,2,59348.83,1,0,32,699,76,394,299,188,346,0,5,3,9,13,1,1,1,1,0,0,3,11,1,Germany,São Paulo,224,1,1,0,1,3,2002,52,2,0,False,False,False,False,True,False,1,19782.943333333333,3,-1.1996069675270535,-0.5291183191972622,True
1949,2,48158.43,2,0,44,795,25,356,123,65,236,1,1,5,0,3,0,1,0,0,0,1,3,11,1,USA,Mumbai,318,1,1,1,1,3,1600,76,2,1,True,False,False,True,False,False,2,16052.81,2,0.7113720404581753,-0.5212324450339418,True
2001,1,63534.89,2,0,5,787,44,352,82,86,115,6,9,5,6,12,0,1,1,0,0,1,3,11,0,Germany,London,707,0,1,0,0,3,1466,24,2,0,False,True,False,False,False,True,2,21178.296666666665,3,-1.9708085933318578,-0.5824557371666231,True
1975,0,55754.83,0,2,36,991,54,574,72,0,140,9,8,3,2,2,0,0,1,1,0,1,3,11,0,Brazil,London,861,0,1,0,0,3,1831,50,2,0,False,False,False,False,False,False,2,18584.943333333333,3,-0.7965316288960769,-0.7030092523988377,True
